name,city,number_of_courts,lines_status,nets_status
Westmonte Park,Orlando,3,Perm. Lines,Perm. Nets
Veterans Memorial Park,Orlando,10,Perm. Lines,Perm. Nets
Dover Shores Community Center,Orlando,6,Perm. Lines,Perm. Nets
Round Lake Park,Orlando,10,Perm. Lines,BYO Nets
Phelps Park,Orlando,2,Perm. Lines,Perm. Nets
Riverside Park,Orlando,3,Perm. Lines,Perm. Nets
Eastmonte Park,Orlando,4,Perm. Lines,BYO Nets
Central Winds Pickleball Courts,Orlando,14,Perm. Lines,Perm. Nets
City of Maitland - Minnehaha Park,Orlando,4,Perm. Lines,Portable Nets
Candyland Sports Complex,Orlando,6,Perm. Lines,Perm. Nets
Warren Park,Orlando,8,Perm. Lines,Portable Nets
Downey Park,Orlando,8,Perm. Lines,Perm. Nets
Eastmonte Park,Orlando,10,Perm. Lines,BYO Nets
Trotwood Park,Orlando,4,Perm. Lines,Portable Nets
Avalon Park,Orlando,2,Perm. Lines,BYO Nets
Cady Way Pickleball,Orlando,8,Perm. Lines,Perm. Nets
Tiger Minor Park,Orlando,7,Perm. Lines,Perm. Nets
East Park,Orlando,4,Perm. Lines,Perm. Nets
Caruthers Park,Anaheim,2,Perm. Lines,BYO Nets
Montebello City Park,Anaheim,4,Perm. Lines,Perm. Nets
Magnolia Park,Anaheim,1,Tape Lines,BYO Nets
Bixby Park,Anaheim,1,Perm. Lines,BYO Nets
Brenner Park,Anaheim,3,Perm. Lines,BYO Nets
Cornerstone Warehouse,Anaheim,3,Perm. Lines,Portable Nets
Independence Park,Anaheim,4,Perm. Lines,Portable Nets
La Mirada Community Regional Park,Anaheim,6,Perm. Lines,Perm. Nets
Sigler Park,Anaheim,3,Perm. Lines,Perm. Nets
Somerset Park,Anaheim,8,Perm. Lines,BYO Nets
City of Lakewood Mayfair Park,Anaheim,8,Perm. Lines,Portable Nets
Leffingwell Ranch Park,Anaheim,4,Perm. Lines,Perm. Nets
Peralta Park,Anaheim,1,Perm. Lines,Perm. Nets
City of La Palma Recreation and Community Center,Anaheim,6,Perm. Lines,Perm. Nets
Box Canyon Park,Anaheim,1,Perm. Lines,BYO Nets
Marina Park Seal Beach,Anaheim,4,Perm. Lines,Perm. Nets
Vellano Park,Anaheim,4,Perm. Lines,Perm. Nets
Morrison Park,Anaheim,1,Perm. Lines,Tennis Nets
Tuffree Hill Park,Anaheim,4,Perm. Lines,Perm. Nets
Whitaker Park,Anaheim,3,Perm. Lines,BYO Nets
Maple Hill Park,Anaheim,4,Perm. Lines,Perm. Nets
Gretchen Whitney High School,Anaheim,3,Perm. Lines,BYO Nets
Brush Canyon Park,Anaheim,2,Perm. Lines,Portable Nets
Heritage Community Park,Anaheim,4,Perm. Lines,Portable Nets
Vista Del Verde Park,Anaheim,3,Perm. Lines,Portable Nets
Liberty Park and Fitness Center,Anaheim,5,Perm. Lines,Perm. Nets
Las Palomas Park,Anaheim,4,Perm. Lines,Perm. Nets
Marina Vista Park,Anaheim,8,Perm. Lines,BYO Nets
Worthy Park,Anaheim,4,Perm. Lines,Perm. Nets
Portola Springs Community Park,Anaheim,8,Perm. Lines,Perm. Nets
Tanager Park,Anaheim,2,Perm. Lines,Perm. Nets
Harbour View Tennis courts,Anaheim,1,Tape Lines,BYO Nets
University Community Park,Anaheim,1,Perm. Lines,Tennis Nets
Edison Park,Anaheim,7,Perm. Lines,Perm. Nets
Bay Shore Recreation Center,Anaheim,3,Perm. Lines,BYO Nets
Discovery Well Park,Anaheim,1,Perm. Lines,Perm. Nets
El Camino Real Park,Anaheim,2,Perm. Lines,Tennis Nets
Cypress College Tennis Center,Anaheim,8,Perm. Lines,BYO Nets
San Carlo Park,Anaheim,2,Perm. Lines,Tennis Nets
Olive hills dog park,Anaheim,2,BYO Lines,Tennis Nets
Twila Reid park,Anaheim,3,Perm. Lines,Perm. Nets
Grand Avenue Park,Anaheim,5,Perm. Lines,Portable Nets
Bill Briare Park,Las Vegas,4,Perm. Lines,Perm. Nets
Huckleberry Park,Las Vegas,4,Perm. Lines,Tennis Nets
Stone Bridge Park,Las Vegas,4,Perm. Lines,Perm. Nets
Aloha Shores Park,Las Vegas,4,Perm. Lines,Perm. Nets
Bob Price Recreation Center,Las Vegas,6,Perm. Lines,Portable Nets
Siena Heights Trailhead,Las Vegas,3,Perm. Lines,Tennis Nets
Sunny Springs Park,Las Vegas,2,Perm. Lines,Tennis Nets
Sunset Park Pickleball Complex,Las Vegas,24,Perm. Lines,Perm. Nets
Black Mountain Recreation Center & Aquatic Complex,Las Vegas,6,Perm. Lines,Perm. Nets
Dorrel Park,Las Vegas,1,Perm. Lines,Perm. Nets
Ward 6 Pickleball Courts,Las Vegas,2,Perm. Lines,Perm. Nets
Skye Hills Park at Farm Road,Las Vegas,2,Perm. Lines,Perm. Nets
